"Theme Name","Theme Rank",Location,"# Bands","% of global"
Anti-Islam,1,Finland,10,24.39%
Anti-Islam,1,"United States",5,12.20%
Anti-Islam,1,France,5,12.20%
Anti-Islam,1,Canada,3,7.32%
Anti-Islam,1,Türkiye,3,7.32%
Anti-Islam,1,Unknown,3,7.32%
Anti-Islam,1,Brazil,2,4.88%
Anti-Islam,1,International,2,4.88%
Anti-Islam,1,"United Kingdom",1,2.44%
Anti-Islam,1,Austria,1,2.44%
Anti-Islam,1,Italy,1,2.44%
Anti-Islam,1,Sweden,1,2.44%
Anti-Islam,1,Germany,1,2.44%
Anti-Islam,1,Poland,1,2.44%
Anti-Islam,1,Thailand,1,2.44%
Anti-Islam,1,Iran,1,2.44%
