"Theme Name","Avg. year formed","# active"
"National Socialism",2006,353
War,2006,131
Paganism,2005,66
Nationalism,2006,61
Hatred,2005,48
Antisemitism,2007,47
Satanism,2003,42
Anti-Christianity,2005,34
Racism,2007,34
Hate,2006,33
Anti-Islam,2011,28
Occultism,2004,24
Darkness,2004,23
Nature,2009,22
Aryanism,2003,20
Misanthropy,2006,18
History,2007,15
"White supremacy",2005,15
Anti-religion,2008,14
Death,2006,13
Heathenism,2004,12
Pride,2006,12
Genocide,2007,11
"White pride",2009,11
Wotanism,2006,11
